Period,Month,CCI,National TV GRPs,Magazine GRPs,Paid Search,Display,Facebook Impressions,Wechat,Sales Event,Black Friday,July 4th,Comp Media Spend,Sales,DisplayAlwaysOnImpression,DisplayBrandingImpression,DisplayWebsiteImpression,DisplayHolidayImpression,SearchBrandingclicks,SearchAlwasyOnclicks,SearchWebsiteclicks,FacebookBrandingImpressions,FacebookHolidayImpressions,FacebookOtherImpressions
7/17/17,7/1/17,93,67,18,306364,38673455,6518252,1760,1,0,0,25136,256819,17084300,14780468,6808687,0,183845,122519,0,6518252,0,0
7/24/17,7/1/17,93,45,18,354193,35481918,6638252,2066,1,0,0,25136,257818,19214118,14728624,1539176,0,55007,239192,59994,6638252,0,0
7/31/17,7/1/17,97,68,19,383480,36766940,35098328,1553,1,0,0,25136,252185,11584540,12774768,12407632,0,104055,221060,58365,35098328,0,0
8/7/17,8/1/17,97,39,19,348729,30882888,10101682,1260,1,0,0,25315,264036,17183626,0,13699262,0,87481,233596,27652,10101682,0,0
8/14/17,8/1/17,97,42,19,303435,37340221,14791982,1193,1,0,0,25315,251769,16615320,0,20724901,0,114731,188704,0,14791982,0,0
8/21/17,8/1/17,97,47,19,345345,41165034,0,1193,0,0,0,25315,225087,20201338,0,20963696,0,83256,248378,13711,0,0,0
8/28/17,8/1/17,95,45,18,322262,37445776,11266676,1328,0,0,0,25315,217274,20158276,0,17287500,0,37731,224596,59935,11266676,0,0
9/4/17,9/1/17,95,54,18,343676,41550368,17604380,1395,0,0,0,25300,223139,17702333,0,23848035,0,132324,177280,34072,17604380,0,0
9/11/17,9/1/17,95,72,18,351100,36758649,20540846,1463,0,0,0,25300,228336,15260479,0,21498170,0,60599,192313,98188,20540846,0,0
9/18/17,9/1/17,95,72,18,347672,36697280,16270458,1352,0,0,0,25300,232646,19529463,12513792,4654025,0,117220,152799,77653,16270458,0,0
9/25/17,9/1/17,101,85,0,318687,37768825,18971402,1428,0,0,0,25300,233529,19636508,9893129,8239188,0,71340,123634,123713,18971402,0,0
10/2/17,10/1/17,101,80,0,350603,43950508,0,1428,0,0,0,30478,237837,22425243,13879404,7645861,0,86915,195986,67702,0,0,0
10/9/17,10/1/17,101,57,0,272403,41120064,19855768,1416,0,0,0,30478,217322,27806645,7179324,6134095,0,103816,99241,69346,19855768,0,0
10/16/17,10/1/17,101,42,0,377074,41918267,0,1395,0,0,0,30478,221941,14280836,13128459,14508972,0,71303,166640,139131,0,0,0
10/23/17,10/1/17,101,31,0,432094,42281650,20737436,1365,0,0,0,30478,210094,22035836,12575784,7670030,0,148720,210818,72556,20737436,0,0
10/30/17,10/1/17,99,40,18,306841,40814059,14258218,2448,0,0,0,30478,217087,24240295,8326278,8247486,0,62417,173560,70864,14258218,0,0
11/6/17,11/1/17,99,53,18,374316,36062526,39157488,2556,1,0,0,20322,250612,20768484,6499007,0,8795035,122120,172798,79398,0,39157488,0
11/13/17,11/1/17,99,53,18,359857,40871029,32429357,3384,1,0,0,20322,276916,14032864,14195030,0,12643135,105241,204942,49674,0,32429357,0
11/20/17,11/1/17,99,58,18,388931,37239004,20422829,6096,1,0,0,20322,289094,20089321,8590333,0,8559350,106400,168515,114016,0,20422829,0
11/27/17,11/1/17,96,52,20,303303,38408351,6884386,3960,1,1,0,20322,500342,18144076,8362705,0,11901570,64307,216052,22944,0,6884386,0
12/4/17,12/1/17,96,73,20,270781,34923918,14128685,2988,1,0,0,20432,259286,16796553,7820616,0,10306749,130727,84631,55423,0,14128685,0
12/11/17,12/1/17,96,68,20,269663,34013004,60130790,3096,1,0,0,20432,264517,19504487,6949128,0,7559389,79338,143008,47317,0,60130790,0
12/18/17,12/1/17,96,59,20,392770,36295419,84172550,3564,1,0,0,20432,291963,18884552,7699669,0,9711198,133091,144733,114946,0,84172550,0
12/25/17,12/1/17,96,73,20,311237,39796196,32429357,1323,0,0,0,20432,265372,15529485,14365762,0,9900949,90555,142645,78037,0,32429357,0
